distance_bins,pairs,mean_residual,MAE
1,336,-0.07109282503917541,0.25194370853925874
2,335,-0.11202133092244197,0.38515506852025233
3,334,-0.06033524773931651,0.4168194943981732
4,333,-0.059219871079957985,0.42224295924630023
5,332,-0.06702466050084885,0.4811935334010042
6,331,0.003939024999793052,0.44200259190187996
7,330,0.0038909762665706006,0.461793564515152
8,329,-0.0455654176732339,0.4915547942785952
9,328,-0.006899206774232621,0.4800202847538044
10,327,-0.0045540307330677095,0.44341429774488483
11,326,0.015925361625735164,0.4610115944298255
12,325,-0.0021246290328740397,0.4958555055419444
13,324,-0.011558632418677857,0.49351264773576137
14,323,0.017886550482896918,0.47693425414065005
15,322,0.00679577832044958,0.5002427784605307
