model,MSE,MAE,R2,Pearson,Spearman
Naive mean,1.7144848108291626,1.008211612701416,-0.049596548080444336,,
Distance only,0.760244085766586,0.6351331571677535,0.5345834177228608,0.7662512410739123,0.7877733026711007
ATAC only,1.3828111463343447,0.8892795162796712,0.15345183249572836,0.39331296015771405,0.40691772394125414
Distance + ATAC,0.5354537584211401,0.4463199897999969,0.6721986229455137,0.8207268710510285,0.8583626211122286
